,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:15.227000,NOR,McLaren,0.0
1,0 days 00:01:15.249000,PIA,McLaren,0.022
2,0 days 00:01:15.273000,VER,Red Bull Racing,0.046
3,0 days 00:01:15.696000,SAI,Ferrari,0.469
4,0 days 00:01:15.854000,HAM,Mercedes,0.627
5,0 days 00:01:15.891000,LEC,Ferrari,0.664
6,0 days 00:01:16.043000,ALO,Aston Martin,0.816
7,0 days 00:01:16.075000,STR,Aston Martin,0.848
8,0 days 00:01:16.121000,TSU,RB,0.894
9,0 days 00:01:16.202000,RIC,RB,0.975
10,0 days 00:01:16.317000,HUL,Haas F1 Team,1.09
11,0 days 00:01:16.384000,BOT,Kick Sauber,1.157
12,0 days 00:01:16.429000,ALB,Williams,1.202
13,0 days 00:01:16.543000,SAR,Williams,1.316
14,0 days 00:01:16.548000,MAG,Haas F1 Team,1.321
15,0 days 00:01:17.886000,PER,Red Bull Racing,2.659
16,0 days 00:01:17.968000,RUS,Mercedes,2.741
17,0 days 00:01:18.037000,ZHO,Kick Sauber,2.81
18,0 days 00:01:18.049000,OCO,Alpine,2.822
19,0 days 00:01:18.166000,GAS,Alpine,2.939
